agent,env,seed,nsteps,reward
reality_check(random_agent),crying_baby_2,0,500,-476.0
reality_check(random_agent),minus_rewards(crying_baby_2),0,500,486.0
reality_check(random_agent),tempting_button,0,500,-15.0
reality_check(random_agent),minus_rewards(tempting_button),0,500,-11.0
reality_check(random_agent),tempting_button_variation,0,500,66.0
reality_check(random_agent),minus_rewards(tempting_button_variation),0,500,-40.0
reality_check(random_agent),third_action_forbidden,0,500,-23.0
reality_check(random_agent),minus_rewards(third_action_forbidden),0,500,1.0
reality_check(random_agent),delay_reactions,0,500,39.0
reality_check(random_agent),minus_rewards(delay_reactions),0,500,3.0
reality_check(random_agent),delayed_rewards,0,500,7.0
reality_check(random_agent),minus_rewards(delayed_rewards),0,500,-5.0
reality_check(random_agent),repeater,0,500,-37.0
reality_check(random_agent),minus_rewards(repeater),0,500,1.0
reality_check(random_agent),after_images,0,500,21.0
reality_check(random_agent),minus_rewards(after_images),0,500,-11.0
reality_check(random_agent),self_recognition,0,500,5.0
reality_check(random_agent),minus_rewards(self_recognition),0,500,0.0
reality_check(random_agent),limited_memory,0,500,-45.0
reality_check(random_agent),minus_rewards(limited_memory),0,500,9.0
reality_check(random_agent),censored_observation,0,500,3.0
reality_check(random_agent),minus_rewards(censored_observation),0,500,-17.0
reality_check(random_agent),nth_reward_multiplied_by_n,0,500,7.0
reality_check(random_agent),minus_rewards(nth_reward_multiplied_by_n),0,500,-5.0
reality_check(random_agent),adversarial_sequence_predictor,0,500,-31.0
reality_check(random_agent),minus_rewards(adversarial_sequence_predictor),0,500,51.0
reality_check(random_agent),adversarial_sequence_evader,0,500,51.0
reality_check(random_agent),minus_rewards(adversarial_sequence_evader),0,500,-31.0
reality_check(random_agent),incentivize_learning_rate,0,500,-499.0
reality_check(random_agent),minus_rewards(incentivize_learning_rate),0,500,499.0
constant_agent,backward_consciousness,0,500,499.0
constant_agent,minus_rewards(backward_consciousness),0,500,-499.0
constant_agent,deja_vu,0,500,499.0
constant_agent,minus_rewards(deja_vu),0,500,-499.0
constant_agent,false_memories,0,500,499.0
constant_agent,minus_rewards(false_memories),0,500,-499.0
constant_agent,ignore_rewards,0,500,499.0
constant_agent,minus_rewards(ignore_rewards),0,500,-499.0
constant_agent,ignore_rewards2,0,500,499.0
constant_agent,minus_rewards(ignore_rewards2),0,500,-499.0
constant_agent,ignore_rewards3,0,500,499.0
constant_agent,minus_rewards(ignore_rewards3),0,500,-499.0
constant_agent,ignore_observations,0,500,499.0
constant_agent,minus_rewards(ignore_observations),0,500,-499.0
constant_agent,ignore_actions,0,500,499.0
constant_agent,minus_rewards(ignore_actions),0,500,-499.0
constant_agent,incentivize_zero,0,500,499.0
constant_agent,minus_rewards(incentivize_zero),0,500,-499.0
constant_agent,crying_baby,0,500,500.0
constant_agent,minus_rewards(crying_baby),0,500,-500.0
constant_agent,crying_baby_2,0,500,-490.0
constant_agent,minus_rewards(crying_baby_2),0,500,490.0
constant_agent,tempting_button,0,500,239.0
constant_agent,minus_rewards(tempting_button),0,500,-263.0
constant_agent,tempting_button_variation,0,500,0.0
constant_agent,minus_rewards(tempting_button_variation),0,500,0.0
constant_agent,third_action_forbidden,0,500,499.0
constant_agent,minus_rewards(third_action_forbidden),0,500,-499.0
constant_agent,delay_reactions,0,500,499.0
constant_agent,minus_rewards(delay_reactions),0,500,-499.0
constant_agent,delayed_rewards,0,500,499.0
constant_agent,minus_rewards(delayed_rewards),0,500,-499.0
constant_agent,repeater,0,500,499.0
constant_agent,minus_rewards(repeater),0,500,-499.0
constant_agent,after_images,0,500,499.0
constant_agent,minus_rewards(after_images),0,500,-499.0
constant_agent,self_recognition,0,500,-10.0
constant_agent,minus_rewards(self_recognition),0,500,21.0
constant_agent,limited_memory,0,500,499.0
constant_agent,minus_rewards(limited_memory),0,500,-499.0
constant_agent,censored_observation,0,500,499.0
constant_agent,minus_rewards(censored_observation),0,500,-499.0
constant_agent,nth_reward_multiplied_by_n,0,500,499.0
constant_agent,minus_rewards(nth_reward_multiplied_by_n),0,500,-499.0
constant_agent,adversarial_sequence_predictor,0,500,499.0
constant_agent,minus_rewards(adversarial_sequence_predictor),0,500,-499.0
constant_agent,adversarial_sequence_evader,0,500,-499.0
constant_agent,minus_rewards(adversarial_sequence_evader),0,500,499.0
constant_agent,incentivize_learning_rate,0,500,-499.0
constant_agent,minus_rewards(incentivize_learning_rate),0,500,499.0
reality_check(constant_agent),backward_consciousness,0,500,499.0
reality_check(constant_agent),minus_rewards(backward_consciousness),0,500,-499.0
reality_check(constant_agent),deja_vu,0,500,499.0
reality_check(constant_agent),minus_rewards(deja_vu),0,500,-499.0
reality_check(constant_agent),false_memories,0,500,499.0
reality_check(constant_agent),minus_rewards(false_memories),0,500,-499.0
reality_check(constant_agent),ignore_rewards,0,500,499.0
reality_check(constant_agent),minus_rewards(ignore_rewards),0,500,-499.0
reality_check(constant_agent),ignore_rewards2,0,500,499.0
reality_check(constant_agent),minus_rewards(ignore_rewards2),0,500,-499.0
reality_check(constant_agent),ignore_rewards3,0,500,499.0
reality_check(constant_agent),minus_rewards(ignore_rewards3),0,500,-499.0
reality_check(constant_agent),ignore_observations,0,500,499.0
reality_check(constant_agent),minus_rewards(ignore_observations),0,500,-499.0
reality_check(constant_agent),ignore_actions,0,500,499.0
reality_check(constant_agent),minus_rewards(ignore_actions),0,500,-499.0
reality_check(constant_agent),incentivize_zero,0,500,499.0
reality_check(constant_agent),minus_rewards(incentivize_zero),0,500,-499.0
reality_check(constant_agent),crying_baby,0,500,500.0
reality_check(constant_agent),minus_rewards(crying_baby),0,500,-500.0
reality_check(constant_agent),crying_baby_2,0,500,-490.0
reality_check(constant_agent),minus_rewards(crying_baby_2),0,500,490.0
reality_check(constant_agent),tempting_button,0,500,231.0
reality_check(constant_agent),minus_rewards(tempting_button),0,500,-253.0
reality_check(constant_agent),tempting_button_variation,0,500,0.0
reality_check(constant_agent),minus_rewards(tempting_button_variation),0,500,0.0
reality_check(constant_agent),third_action_forbidden,0,500,499.0
reality_check(constant_agent),minus_rewards(third_action_forbidden),0,500,-499.0
reality_check(constant_agent),delay_reactions,0,500,499.0
reality_check(constant_agent),minus_rewards(delay_reactions),0,500,-499.0
reality_check(constant_agent),delayed_rewards,0,500,499.0
reality_check(constant_agent),minus_rewards(delayed_rewards),0,500,-499.0
reality_check(constant_agent),repeater,0,500,499.0
reality_check(constant_agent),minus_rewards(repeater),0,500,-499.0
reality_check(constant_agent),after_images,0,500,499.0
reality_check(constant_agent),minus_rewards(after_images),0,500,-499.0
reality_check(constant_agent),self_recognition,0,500,-16.0
reality_check(constant_agent),minus_rewards(self_recognition),0,500,3.0
reality_check(constant_agent),limited_memory,0,500,499.0
reality_check(constant_agent),minus_rewards(limited_memory),0,500,-499.0
reality_check(constant_agent),censored_observation,0,500,499.0
reality_check(constant_agent),minus_rewards(censored_observation),0,500,-499.0
reality_check(constant_agent),nth_reward_multiplied_by_n,0,500,499.0
reality_check(constant_agent),minus_rewards(nth_reward_multiplied_by_n),0,500,-499.0
reality_check(constant_agent),adversarial_sequence_predictor,0,500,499.0
reality_check(constant_agent),minus_rewards(adversarial_sequence_predictor),0,500,-499.0
reality_check(constant_agent),adversarial_sequence_evader,0,500,-499.0
reality_check(constant_agent),minus_rewards(adversarial_sequence_evader),0,500,499.0
reality_check(constant_agent),incentivize_learning_rate,0,500,-499.0
reality_check(constant_agent),minus_rewards(incentivize_learning_rate),0,500,499.0
naive_learner,backward_consciousness,0,500,349.0
naive_learner,minus_rewards(backward_consciousness),0,500,117.0
naive_learner,deja_vu,0,500,353.0
naive_learner,minus_rewards(deja_vu),0,500,-411.0
naive_learner,false_memories,0,500,341.0
naive_learner,minus_rewards(false_memories),0,500,-139.0
naive_learner,ignore_rewards,0,500,351.0
naive_learner,minus_rewards(ignore_rewards),0,500,357.0
naive_learner,ignore_rewards2,0,500,253.0
naive_learner,minus_rewards(ignore_rewards2),0,500,-499.0
naive_learner,ignore_rewards3,0,500,403.0
naive_learner,minus_rewards(ignore_rewards3),0,500,363.0
naive_learner,ignore_observations,0,500,387.0
naive_learner,minus_rewards(ignore_observations),0,500,-359.0
naive_learner,ignore_actions,0,500,375.0
naive_learner,minus_rewards(ignore_actions),0,500,-1.0
naive_learner,incentivize_zero,0,500,-367.0
naive_learner,minus_rewards(incentivize_zero),0,500,481.0
naive_learner,crying_baby,0,500,410.0
naive_learner,minus_rewards(crying_baby),0,500,-252.0
naive_learner,crying_baby_2,0,500,-490.0
naive_learner,minus_rewards(crying_baby_2),0,500,486.0
naive_learner,tempting_button,0,500,187.0
naive_learner,minus_rewards(tempting_button),0,500,197.0
naive_learner,tempting_button_variation,0,500,0.0
naive_learner,minus_rewards(tempting_button_variation),0,500,-29.0
naive_learner,third_action_forbidden,0,500,323.0
naive_learner,minus_rewards(third_action_forbidden),0,500,-1.0
naive_learner,delay_reactions,0,500,323.0
naive_learner,minus_rewards(delay_reactions),0,500,31.0
naive_learner,delayed_rewards,0,500,367.0
naive_learner,minus_rewards(delayed_rewards),0,500,1.0
naive_learner,repeater,0,500,347.0
naive_learner,minus_rewards(repeater),0,500,-111.0
naive_learner,after_images,0,500,361.0
naive_learner,minus_rewards(after_images),0,500,-361.0
naive_learner,self_recognition,0,500,11.0
naive_learner,minus_rewards(self_recognition),0,500,-14.0
naive_learner,limited_memory,0,500,417.0
naive_learner,minus_rewards(limited_memory),0,500,67.0
naive_learner,censored_observation,0,500,353.0
naive_learner,minus_rewards(censored_observation),0,500,-31.0
naive_learner,nth_reward_multiplied_by_n,0,500,383.0
naive_learner,minus_rewards(nth_reward_multiplied_by_n),0,500,-81.0
naive_learner,adversarial_sequence_predictor,0,500,373.0
naive_learner,minus_rewards(adversarial_sequence_predictor),0,500,125.0
naive_learner,adversarial_sequence_evader,0,500,125.0
naive_learner,minus_rewards(adversarial_sequence_evader),0,500,373.0
naive_learner,incentivize_learning_rate,0,500,-499.0
naive_learner,minus_rewards(incentivize_learning_rate),0,500,499.0
reality_check(naive_learner),backward_consciousness,0,500,-1.0
reality_check(naive_learner),minus_rewards(backward_consciousness),0,500,-1.0
reality_check(naive_learner),deja_vu,0,500,425.0
reality_check(naive_learner),minus_rewards(deja_vu),0,500,427.0
reality_check(naive_learner),false_memories,0,500,399.0
reality_check(naive_learner),minus_rewards(false_memories),0,500,443.0
reality_check(naive_learner),ignore_rewards,0,500,421.0
reality_check(naive_learner),minus_rewards(ignore_rewards),0,500,427.0
reality_check(naive_learner),ignore_rewards2,0,500,437.0
reality_check(naive_learner),minus_rewards(ignore_rewards2),0,500,-499.0
reality_check(naive_learner),ignore_rewards3,0,500,403.0
reality_check(naive_learner),minus_rewards(ignore_rewards3),0,500,363.0
reality_check(naive_learner),ignore_observations,0,500,423.0
reality_check(naive_learner),minus_rewards(ignore_observations),0,500,389.0
reality_check(naive_learner),ignore_actions,0,500,425.0
reality_check(naive_learner),minus_rewards(ignore_actions),0,500,443.0
reality_check(naive_learner),incentivize_zero,0,500,-367.0
reality_check(naive_learner),minus_rewards(incentivize_zero),0,500,481.0
reality_check(naive_learner),crying_baby,0,500,410.0
reality_check(naive_learner),minus_rewards(crying_baby),0,500,-252.0
reality_check(naive_learner),crying_baby_2,0,500,-490.0
reality_check(naive_learner),minus_rewards(crying_baby_2),0,500,486.0
reality_check(naive_learner),tempting_button,0,500,165.0
reality_check(naive_learner),minus_rewards(tempting_button),0,500,165.0
reality_check(naive_learner),tempting_button_variation,0,500,1.0
reality_check(naive_learner),minus_rewards(tempting_button_variation),0,500,-30.0
reality_check(naive_learner),third_action_forbidden,0,500,417.0
reality_check(naive_learner),minus_rewards(third_action_forbidden),0,500,405.0
reality_check(naive_learner),delay_reactions,0,500,409.0
reality_check(naive_learner),minus_rewards(delay_reactions),0,500,427.0
reality_check(naive_learner),delayed_rewards,0,500,417.0
reality_check(naive_learner),minus_rewards(delayed_rewards),0,500,427.0
reality_check(naive_learner),repeater,0,500,417.0
reality_check(naive_learner),minus_rewards(repeater),0,500,443.0
reality_check(naive_learner),after_images,0,500,439.0
reality_check(naive_learner),minus_rewards(after_images),0,500,415.0
reality_check(naive_learner),self_recognition,0,500,-3.0
reality_check(naive_learner),minus_rewards(self_recognition),0,500,-25.0
reality_check(naive_learner),limited_memory,0,500,123.0
reality_check(naive_learner),minus_rewards(limited_memory),0,500,49.0
reality_check(naive_learner),censored_observation,0,500,421.0
reality_check(naive_learner),minus_rewards(censored_observation),0,500,431.0
reality_check(naive_learner),nth_reward_multiplied_by_n,0,500,433.0
reality_check(naive_learner),minus_rewards(nth_reward_multiplied_by_n),0,500,393.0
reality_check(naive_learner),adversarial_sequence_predictor,0,500,425.0
reality_check(naive_learner),minus_rewards(adversarial_sequence_predictor),0,500,419.0
reality_check(naive_learner),adversarial_sequence_evader,0,500,419.0
reality_check(naive_learner),minus_rewards(adversarial_sequence_evader),0,500,425.0
reality_check(naive_learner),incentivize_learning_rate,0,500,-499.0
reality_check(naive_learner),minus_rewards(incentivize_learning_rate),0,500,499.0
agent_A2C,backward_consciousness,0,500,-339.0
agent_A2C,minus_rewards(backward_consciousness),0,500,85.0
agent_A2C,deja_vu,0,500,-423.0
agent_A2C,minus_rewards(deja_vu),0,500,297.0
agent_A2C,false_memories,0,500,-29.0
agent_A2C,minus_rewards(false_memories),0,500,25.0
agent_A2C,ignore_rewards,0,500,-11.0
agent_A2C,minus_rewards(ignore_rewards),0,500,1.0
agent_A2C,ignore_rewards2,0,500,-11.0
agent_A2C,minus_rewards(ignore_rewards2),0,500,-499.0
agent_A2C,ignore_rewards3,0,500,1.0
agent_A2C,minus_rewards(ignore_rewards3),0,500,33.0
agent_A2C,ignore_observations,0,500,-9.0
agent_A2C,minus_rewards(ignore_observations),0,500,21.0
agent_A2C,ignore_actions,0,500,-7.0
agent_A2C,minus_rewards(ignore_actions),0,500,-1.0
agent_A2C,incentivize_zero,0,500,-421.0
agent_A2C,minus_rewards(incentivize_zero),0,500,421.0
agent_A2C,crying_baby,0,500,38.0
agent_A2C,minus_rewards(crying_baby),0,500,-34.0
agent_A2C,crying_baby_2,0,500,-484.0
agent_A2C,minus_rewards(crying_baby_2),0,500,484.0
agent_A2C,tempting_button,0,500,51.0
agent_A2C,minus_rewards(tempting_button),0,500,-57.0
agent_A2C,tempting_button_variation,0,500,41.0
agent_A2C,minus_rewards(tempting_button_variation),0,500,-58.0
agent_A2C,third_action_forbidden,0,500,-197.0
agent_A2C,minus_rewards(third_action_forbidden),0,500,167.0
agent_A2C,delay_reactions,0,500,-9.0
agent_A2C,minus_rewards(delay_reactions),0,500,-5.0
agent_A2C,delayed_rewards,0,500,-5.0
agent_A2C,minus_rewards(delayed_rewards),0,500,-1.0
agent_A2C,repeater,0,500,-7.0
agent_A2C,minus_rewards(repeater),0,500,15.0
agent_A2C,after_images,0,500,3.0
agent_A2C,minus_rewards(after_images),0,500,-9.0
agent_A2C,self_recognition,0,500,26.0
agent_A2C,minus_rewards(self_recognition),0,500,-8.0
agent_A2C,limited_memory,0,500,-79.0
agent_A2C,minus_rewards(limited_memory),0,500,29.0
agent_A2C,censored_observation,0,500,-7.0
agent_A2C,minus_rewards(censored_observation),0,500,37.0
agent_A2C,nth_reward_multiplied_by_n,0,500,-3.0
agent_A2C,minus_rewards(nth_reward_multiplied_by_n),0,500,-9.0
agent_A2C,adversarial_sequence_predictor,0,500,-19.0
agent_A2C,minus_rewards(adversarial_sequence_predictor),0,500,27.0
agent_A2C,adversarial_sequence_evader,0,500,27.0
agent_A2C,minus_rewards(adversarial_sequence_evader),0,500,-19.0
agent_A2C,incentivize_learning_rate,0,500,-25.0
agent_A2C,minus_rewards(incentivize_learning_rate),0,500,29.0
reality_check(agent_A2C),backward_consciousness,0,500,39.0
reality_check(agent_A2C),minus_rewards(backward_consciousness),0,500,-5.0
reality_check(agent_A2C),deja_vu,0,500,47.0
reality_check(agent_A2C),minus_rewards(deja_vu),0,500,59.0
reality_check(agent_A2C),false_memories,0,500,43.0
reality_check(agent_A2C),minus_rewards(false_memories),0,500,43.0
reality_check(agent_A2C),ignore_rewards,0,500,39.0
reality_check(agent_A2C),minus_rewards(ignore_rewards),0,500,-5.0
reality_check(agent_A2C),ignore_rewards2,0,500,39.0
reality_check(agent_A2C),minus_rewards(ignore_rewards2),0,500,-499.0
reality_check(agent_A2C),ignore_rewards3,0,500,1.0
reality_check(agent_A2C),minus_rewards(ignore_rewards3),0,500,33.0
reality_check(agent_A2C),ignore_observations,0,500,61.0
reality_check(agent_A2C),minus_rewards(ignore_observations),0,500,-13.0
reality_check(agent_A2C),ignore_actions,0,500,43.0
reality_check(agent_A2C),minus_rewards(ignore_actions),0,500,43.0
reality_check(agent_A2C),incentivize_zero,0,500,-421.0
reality_check(agent_A2C),minus_rewards(incentivize_zero),0,500,421.0
reality_check(agent_A2C),crying_baby,0,500,38.0
reality_check(agent_A2C),minus_rewards(crying_baby),0,500,-34.0
reality_check(agent_A2C),crying_baby_2,0,500,-484.0
reality_check(agent_A2C),minus_rewards(crying_baby_2),0,500,484.0
reality_check(agent_A2C),tempting_button,0,500,49.0
reality_check(agent_A2C),minus_rewards(tempting_button),0,500,-53.0
reality_check(agent_A2C),tempting_button_variation,0,500,38.0
reality_check(agent_A2C),minus_rewards(tempting_button_variation),0,500,-58.0
reality_check(agent_A2C),third_action_forbidden,0,500,43.0
reality_check(agent_A2C),minus_rewards(third_action_forbidden),0,500,41.0
reality_check(agent_A2C),delay_reactions,0,500,39.0
reality_check(agent_A2C),minus_rewards(delay_reactions),0,500,37.0
reality_check(agent_A2C),delayed_rewards,0,500,37.0
reality_check(agent_A2C),minus_rewards(delayed_rewards),0,500,37.0
reality_check(agent_A2C),repeater,0,500,43.0
reality_check(agent_A2C),minus_rewards(repeater),0,500,43.0
reality_check(agent_A2C),after_images,0,500,23.0
reality_check(agent_A2C),minus_rewards(after_images),0,500,15.0
reality_check(agent_A2C),self_recognition,0,500,26.0
reality_check(agent_A2C),minus_rewards(self_recognition),0,500,-8.0
reality_check(agent_A2C),limited_memory,0,500,51.0
reality_check(agent_A2C),minus_rewards(limited_memory),0,500,37.0
reality_check(agent_A2C),censored_observation,0,500,-23.0
reality_check(agent_A2C),minus_rewards(censored_observation),0,500,41.0
reality_check(agent_A2C),nth_reward_multiplied_by_n,0,500,39.0
reality_check(agent_A2C),minus_rewards(nth_reward_multiplied_by_n),0,500,37.0
reality_check(agent_A2C),adversarial_sequence_predictor,0,500,71.0
reality_check(agent_A2C),minus_rewards(adversarial_sequence_predictor),0,500,-3.0
reality_check(agent_A2C),adversarial_sequence_evader,0,500,-3.0
reality_check(agent_A2C),minus_rewards(adversarial_sequence_evader),0,500,71.0
reality_check(agent_A2C),incentivize_learning_rate,0,500,-499.0
reality_check(agent_A2C),minus_rewards(incentivize_learning_rate),0,500,499.0
agent_DQN,backward_consciousness,0,500,353.0
agent_DQN,minus_rewards(backward_consciousness),0,500,-59.0
agent_DQN,deja_vu,0,500,497.0
agent_DQN,minus_rewards(deja_vu),0,500,-89.0
agent_DQN,false_memories,0,500,433.0
agent_DQN,minus_rewards(false_memories),0,500,-423.0
agent_DQN,ignore_rewards,0,500,-331.0
agent_DQN,minus_rewards(ignore_rewards),0,500,-95.0
agent_DQN,ignore_rewards2,0,500,217.0
agent_DQN,minus_rewards(ignore_rewards2),0,500,-499.0
agent_DQN,ignore_rewards3,0,500,-329.0
agent_DQN,minus_rewards(ignore_rewards3),0,500,-103.0
agent_DQN,ignore_observations,0,500,311.0
agent_DQN,minus_rewards(ignore_observations),0,500,-317.0
agent_DQN,ignore_actions,0,500,85.0
agent_DQN,minus_rewards(ignore_actions),0,500,213.0
agent_DQN,incentivize_zero,0,500,-469.0
agent_DQN,minus_rewards(incentivize_zero),0,500,469.0
agent_DQN,crying_baby,0,500,-218.0
agent_DQN,minus_rewards(crying_baby),0,500,218.0
agent_DQN,crying_baby_2,0,500,-490.0
agent_DQN,minus_rewards(crying_baby_2),0,500,490.0
agent_DQN,tempting_button,0,500,-303.0
agent_DQN,minus_rewards(tempting_button),0,500,37.0
agent_DQN,tempting_button_variation,0,500,77.0
agent_DQN,minus_rewards(tempting_button_variation),0,500,-36.0
agent_DQN,third_action_forbidden,0,500,-461.0
agent_DQN,minus_rewards(third_action_forbidden),0,500,23.0
agent_DQN,delay_reactions,0,500,435.0
agent_DQN,minus_rewards(delay_reactions),0,500,-427.0
agent_DQN,delayed_rewards,0,500,439.0
agent_DQN,minus_rewards(delayed_rewards),0,500,-431.0
agent_DQN,repeater,0,500,437.0
agent_DQN,minus_rewards(repeater),0,500,-327.0
agent_DQN,after_images,0,500,445.0
agent_DQN,minus_rewards(after_images),0,500,-323.0
agent_DQN,self_recognition,0,500,298.0
agent_DQN,minus_rewards(self_recognition),0,500,-70.0
agent_DQN,limited_memory,0,500,433.0
agent_DQN,minus_rewards(limited_memory),0,500,455.0
agent_DQN,censored_observation,0,500,427.0
agent_DQN,minus_rewards(censored_observation),0,500,-407.0
agent_DQN,nth_reward_multiplied_by_n,0,500,443.0
agent_DQN,minus_rewards(nth_reward_multiplied_by_n),0,500,-435.0
agent_DQN,adversarial_sequence_predictor,0,500,425.0
agent_DQN,minus_rewards(adversarial_sequence_predictor),0,500,203.0
agent_DQN,adversarial_sequence_evader,0,500,203.0
agent_DQN,minus_rewards(adversarial_sequence_evader),0,500,425.0
agent_DQN,incentivize_learning_rate,0,500,441.0
agent_DQN,minus_rewards(incentivize_learning_rate),0,500,-427.0
reality_check(agent_DQN),backward_consciousness,0,500,433.0
reality_check(agent_DQN),minus_rewards(backward_consciousness),0,500,455.0
reality_check(agent_DQN),deja_vu,0,500,433.0
reality_check(agent_DQN),minus_rewards(deja_vu),0,500,455.0
reality_check(agent_DQN),false_memories,0,500,433.0
reality_check(agent_DQN),minus_rewards(false_memories),0,500,461.0
reality_check(agent_DQN),ignore_rewards,0,500,281.0
reality_check(agent_DQN),minus_rewards(ignore_rewards),0,500,421.0
reality_check(agent_DQN),ignore_rewards2,0,500,433.0
reality_check(agent_DQN),minus_rewards(ignore_rewards2),0,500,-499.0
reality_check(agent_DQN),ignore_rewards3,0,500,-329.0
reality_check(agent_DQN),minus_rewards(ignore_rewards3),0,500,-103.0
reality_check(agent_DQN),ignore_observations,0,500,335.0
reality_check(agent_DQN),minus_rewards(ignore_observations),0,500,371.0
reality_check(agent_DQN),ignore_actions,0,500,433.0
reality_check(agent_DQN),minus_rewards(ignore_actions),0,500,457.0
reality_check(agent_DQN),incentivize_zero,0,500,-469.0
reality_check(agent_DQN),minus_rewards(incentivize_zero),0,500,469.0
reality_check(agent_DQN),crying_baby,0,500,-218.0
reality_check(agent_DQN),minus_rewards(crying_baby),0,500,218.0
reality_check(agent_DQN),crying_baby_2,0,500,-490.0
reality_check(agent_DQN),minus_rewards(crying_baby_2),0,500,490.0
reality_check(agent_DQN),tempting_button,0,500,-303.0
reality_check(agent_DQN),minus_rewards(tempting_button),0,500,35.0
reality_check(agent_DQN),tempting_button_variation,0,500,78.0
reality_check(agent_DQN),minus_rewards(tempting_button_variation),0,500,-37.0
reality_check(agent_DQN),third_action_forbidden,0,500,433.0
reality_check(agent_DQN),minus_rewards(third_action_forbidden),0,500,455.0
reality_check(agent_DQN),delay_reactions,0,500,101.0
reality_check(agent_DQN),minus_rewards(delay_reactions),0,500,417.0
reality_check(agent_DQN),delayed_rewards,0,500,127.0
reality_check(agent_DQN),minus_rewards(delayed_rewards),0,500,417.0
reality_check(agent_DQN),repeater,0,500,429.0
reality_check(agent_DQN),minus_rewards(repeater),0,500,461.0
reality_check(agent_DQN),after_images,0,500,475.0
reality_check(agent_DQN),minus_rewards(after_images),0,500,135.0
reality_check(agent_DQN),self_recognition,0,500,285.0
reality_check(agent_DQN),minus_rewards(self_recognition),0,500,-75.0
reality_check(agent_DQN),limited_memory,0,500,433.0
reality_check(agent_DQN),minus_rewards(limited_memory),0,500,455.0
reality_check(agent_DQN),censored_observation,0,500,-459.0
reality_check(agent_DQN),minus_rewards(censored_observation),0,500,459.0
